Cidade;valortotal;categorias
ALFENAS-MG;4562.76;COOL_STUFF|BELEZA_SAUDE|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|BRINQUEDOS|FASHION_BOLSAS_E_ACE|PAPELARIA|UTILIDADES_DOMESTICA|AUTOMOTIVO|ELETRONICOS|
PRIMAVERA-SP;876.78;COOL_STUFF|CAMA_MESA_BANHO|ELETRONICOS|INFORMATICA_ACESSORI|PAPELARIA|
RIBEIRAO PRETO-SP;58465.38;COOL_STUFF|PET_SHOP|PERFUMARIA|BELEZA_SAUDE|BEBIDAS|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|TELEFONIA|ESPORTE_LAZER|AUTOMOTIVO|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|BRINQUEDOS|CONSOLES_GAMES|ELETRONICOS|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|PAPELARIA|ELETRODOMESTICOS|
UBA-MG;5315.57;COOL_STUFF|BELEZA_SAUDE|CAMA_MESA_BANHO|ELETRONICOS|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|TELEFONIA|INFORMATICA_ACESSORI|FERRAMENTAS_JARDIM|BEBIDAS|ESPORTE_LAZER|MALAS_ACESSORIOS|PAPELARIA|ELETRODOMESTICOS|PERFUMARIA|UTILIDADES_DOMESTICA|PET_SHOP|
MAGE-RJ;12594.00;COOL_STUFF|MOVEIS_DECORACAO|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|UTILIDADES_DOMESTICA|ELETRONICOS|PAPELARIA|BEBIDAS|INFORMATICA_ACESSORI|BELEZA_SAUDE|BRINQUEDOS|TELEFONIA|PERFUMARIA|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|PET_SHOP|MALAS_ACESSORIOS|
BIRIGUI-SP;11757.70;COOL_STUFF|PET_SHOP|BELEZA_SAUDE|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|PERFUMARIA|AUTOMOTIVO|ESPORTE_LAZER|ELETRONICOS|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|CONSOLES_GAMES|RELOGIOS_PRESENTES|BEBIDAS|
SAO PEDRO DA ALDEIA-RJ;3865.62;COOL_STUFF|PET_SHOP|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|BELEZA_SAUDE|CAMA_MESA_BANHO|TELEFONIA|BEBIDAS|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|PAPELARIA|INFORMATICA_ACESSORI|ELETRONICOS|ESPORTE_LAZER|BRINQUEDOS|PERFUMARIA|
SAO FIDELIS-RJ;1650.85;COOL_STUFF|CAMA_MESA_BANHO|TELEFONIA|ESPORTE_LAZER|BEBIDAS|FERRAMENTAS_JARDIM|BRINQUEDOS|ELETRONICOS|UTILIDADES_DOMESTICA|AUTOMOTIVO|MOVEIS_DECORACAO|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|
PIRAI-RJ;2218.16;COOL_STUFF|PERFUMARIA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|BEBIDAS|CAMA_MESA_BANHO|BRINQUEDOS|UTILIDADES_DOMESTICA|BELEZA_SAUDE|
CAJAMAR-SP;9255.21;COOL_STUFF|MOVEIS_DECORACAO|BELEZA_SAUDE|FASHION_BOLSAS_E_ACE|CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|TELEFONIA|AUTOMOTIVO|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BEBIDAS|INFORMATICA_ACESSORI|CONSOLES_GAMES|BRINQUEDOS|PET_SHOP|PAPELARIA|ELETRODOMESTICOS|ESPORTE_LAZER|PERFUMARIA|
